category,subCategory,petType,nameJa,nameEn,descriptionJa,descriptionEn,productLink,image,price
Food,X S dogs,Dog,HAPPY DOG センシブル ミニ XS ジャパン（チキン、トラウト＆海藻） 1.3kg ［ハッピードッグ］,"HAPPY DOG Sensible Mini XS Japan (Chicken, Trout & Seaweed) 1.3kg [Happy Dog]","消化しやすくおなかに優しい最高品質のチキン精肉に、皮膚被毛を健康で美しく整えるトラウトや海藻を組み合わせ、亜麻仁やペクチン豊富なアップルポマスなど、胃腸の調子を整える原材料を厳選したグルテンフリーのスペシャルレシピです。
豊富な食物繊維がおなかの中からきれいにし、便通を健康に整えます。
ユッカシジゲラを配合し、排泄物の匂い軽減にも配慮しています。
海藻や、オメガ3、オメガ6脂肪酸などの艶やかな被毛と健康な皮膚の維持に最適な栄養素もバランスよく配合しています。
超小型犬の小さな口でも食べやすい極小の粒形状です。 ＜総合栄養食＞

【 原材料 】
チキン精肉＊＊（22％）、米、米粉、トラウトミール（7％）、ポルトリー脂肪、ライスプロテイン＊、ビートファイバー＊、亜麻仁（2.6％）、ひまわり油、アップルポマス＊（1.3％）、加水分解レバー、セルロース、加水分解フィッシュ、塩化カリウム、菜種油、コーン、サッカロマイセスセレビシエ＊、塩化ナトリウム、海藻＊（0.27％）、ハーブミックス（ミルクシスル、アーティチョーク、タンポポ、ショウガ、カンバ葉、ネトル、カモミール、コリアンダー、ローズマリー、セージ、リコリス根、タイム 計0.16％）、チコリパウダー、イースト抽出物＊、ユッカシジゲラ＊（0.1％）、緑イ貝＊（0.05％）、ターメリック＊（0.05％）、ビタミン類（ビタミンA、ビタミンD3、ビタミンE、ビタミンB1、ビタミンB2、ビタミンB6、ビオチン、Dパントテン酸カルシウム、ナイアシン、ビタミンB12）、ミネラル類（鉄、銅、亜鉛、マンガン、ヨウ素酸カルシウム、亜セレン酸ナトリウム）その他栄養素（コリン）、天然由来トコフェロール（酸化防止剤として）（＊乾燥）（＊＊乾燥一部加水分解）
【 保証分析値 】
粗タンパク質：27.0％、粗脂肪：16.0％、粗繊維：3.5％、粗灰分：8.5％、水分：9％
【 代謝エネルギー 】
371.0kcal/100g
【 原産国 】
ドイツ
【 製造日からの賞味期限 】
18ヶ月
【 メーカー名 】
ワールドプレミアム","This gluten-free special recipe combines the highest quality chicken meat, which is easy to digest and gentle on the stomach, with trout and seaweed to promote healthy and beautiful skin and coat. It also features carefully selected ingredients that support digestive health, such as flaxseed and pectin-rich apple pomace.
Abundant dietary fiber cleanses the digestive system and promotes healthy bowel movements.
Contains Yucca schidigera to reduce stool odor.
A balanced blend of nutrients, including seaweed and omega-3 and omega-6 fatty acids, is ideal for maintaining a glossy coat and healthy skin.
The kibble is extra small, making it easy for even the smallest dogs to eat. <Complete and Balanced Nutrition>

[Ingredients] 】
Chicken meat** (22%), rice, rice flour, trout meal (7%), poultry fat, rice protein*, beet fiber*, flaxseed (2.6%), sunflower oil, apple pomace* (1.3%), hydrolyzed liver, cellulose, hydrolyzed fish, potassium chloride, rapeseed oil, corn, Saccharomyces cerevisiae*, sodium chloride, seaweed* (0.27%), herb mix (milk thistle, artichoke, dandelion, ginger, birch leaf, nettle, chamomile, coriander, rosemary, sage, licorice root, thyme) Total 0.16%), chicory powder, yeast extract*, yucca schidigera* (0.1%), green-lipped mussel* (0.05%), turmeric* (0.05%), vitamins (vitamin A, vitamin D3, vitamin E, vitamin B1, vitamin B2, vitamin B6, biotin, calcium D-pantothenate, niacin, vitamin B12), minerals (iron, copper, zinc, manganese, calcium iodate, sodium selenite), other nutrients (choline), naturally derived tocopherol (as an antioxidant) (*dried) (**dried and partially hydrolyzed)
[Guaranteed Analysis]
Crude Protein: 27.0%, Crude Fat: 16.0%, Crude Fiber: 3.5%, Crude Ash: 8.5%, Moisture: 9%
[Metabolizable Energy]
371.0kcal/100g
[Country of Origin]
Germany
[Shelf Life from Manufacturing Date]
18 months
[Manufacturer Name] 】
World Premium""",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=01146684&cat=014039,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776703229/01146684_LL_zv2hkb.jpg,"¥3,630(税込)"
Food,X S dogs,Dog,【あす宅】プロプラン 成犬用 超小型・小型犬 チキン 800g,"[Delivery to your door tomorrow] Pro Plan Adult Dog Food, Extra Small & Small Breed, Chicken, 800g","チキンを第1主原料に使用したプロバイオティクス配合製品。
小型犬に合った小さいキブルに生きた乳酸菌、プロバイオティクスを配合し、腸の健康をサポート。 ＜総合栄養食＞

【 原材料 】
乾燥チキン、チキン、米、オーツ麦、小麦、鶏脂肪、小麦タンパク、大麦、タンパク加水分解物、ビートパルプ、魚油（オメガ3脂肪酸源）、チコリ（プレバイオティクス源）、乳酸菌（プロバイオティクス）、ミネラル類（カルシウム、リン、カリウム、ナトリウム、クロライド、マグネシウム、鉄、銅、マンガン、亜鉛、ヨウ素、セレン、ゼオライト）、ビタミン類（A、D、E、B1、B2、パントテン酸、ナイアシン、B6、葉酸、B12、コリン、C）、アミノ酸類（メチオニン、タウリン）、酸化防止剤（ミックストコフェロール）
【 保証分析値 】
タンパク質：29％以上、脂質：17％以上、粗繊維：3％以下、灰分：9％以下、水分：11％以下
【 代謝エネルギー 】
約380kcal/100g
【 原産国 】
オーストラリア
【 メーカー名 】
ネスレピュリナ","A probiotic-fortified product using chicken as the primary ingredient.
Small kibble sized for small dogs, fortified with live lactic acid bacteria and probiotics to support intestinal health. <Complete and balanced nutrition>

[Ingredients]
Dried chicken, chicken, rice, oats, wheat, chicken fat, wheat protein, barley, protein hydrolysate, beet pulp, fish oil (source of omega-3 fatty acids), chicory (source of prebiotics), lactic acid bacteria (probiotics), minerals (calcium, phosphorus, potassium, sodium, chloride, magnesium, iron, copper, manganese, zinc, iodine, selenium, zeolite), vitamins (A, D, E, B1, B2, pantothenic acid, niacin, B6, folic acid, B12, choline, C), amino acids (methionine, taurine), antioxidants (mixed tocopherols)
[Guaranteed Analysis Value]
Protein: 29% or more, Fat: 17% or more, Crude Fiber: 3% or less, Ash: 9% or less, Moisture: 11% or less
[Metabolic Energy]
Approximately 380kcal/100g
【 country of origin 】
Australia
[Manufacturer Name]
Nestlé Purina
[JAN Code]
4902201216456",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=01216456&cat=014039,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747351/01216456_LL_mtrnrg.jpg,"¥6,930(税込)"
Food,Medium dogs,Dog,【あす宅】プロプラン 成犬用 皮膚と胃腸の健康ケア 中型犬・大型犬 サーモン＆あじ 3kg,"[Delivered tomorrow] Pro Plan Adult Dog Food, Skin and Gastrointestinal Health Care, Medium & Large Breed, Salmon & Mackerel, 3kg","繊細な皮膚と胃腸に考慮して、サーモンとあじを主原料に、小麦、とうもろこし、大豆、ビーフは不使用。
皮膚と胃腸の両方をケアすることで、体が繊細な愛犬の健康維持をサポート。 ＜総合栄養食＞

【 原材料 】
フィッシュ（サーモン、あじ）、米、ソルガム、オーツ麦、鶏脂肪（オメガ6脂肪酸源）、タンパク加水分解物、エンドウ豆タンパク、ビートパルプ（不溶性食物繊維源）、魚油（オメガ3脂肪酸源）、チコリ（イヌリン源・プレバイオティクス）、ミネラル類（カルシウム、リン、カリウム、ナトリウム、クロライド、マグネシウム、鉄、銅、マンガン、亜鉛、ヨウ素、セレン、ゼオライト）、ビタミン類（A、D、E、B1、B2、パントテン酸、ナイアシン、B6、葉酸、B12、コリン、C）、アミノ酸類（メチオニン）、酸化防止剤（ミックストコフェロール） ＊ サーモン、あじの合計で第一主原料
【 保証分析値 】
タンパク質：26％以上、脂質：16％以上、粗繊維：3％以下、灰分：9％以下、水分：11％以下
【 代謝エネルギー 】
約380kcal/100g
【 原産国 】
オーストラリア
【 メーカー名 】
ネスレピュリナ
【 JANコード 】
9300605149311","Designed with sensitive skin and digestive systems in mind, this food uses salmon and horse mackerel as the main ingredients, and is free of wheat, corn, soy, and beef.
By caring for both skin and digestive health, it supports the overall well-being of your dog with a sensitive body. <Complete and Balanced Nutrition>

[Ingredients]
Fish (salmon, horse mackerel), rice, sorghum, oats, chicken fat (source of omega-6 fatty acids), protein hydrolysate, pea protein, beet pulp (source of insoluble dietary fiber), fish oil (source of omega-3 fatty acids), chicory (source of inulin and prebiotics), minerals (calcium, phosphorus, potassium, sodium, chloride, magnesium, iron, copper, manganese, zinc, iodine, selenium, zeolite), vitamins (A, D, E, B1, B2, pantothenic acid, niacin, B6, folic acid, B12, choline, C), amino acids (methionine), antioxidants (mixed tocopherols) *Salmon and horse mackerel combined are the primary ingredients
[ [Guaranteed Analysis]
Protein: 26% or more, Fat: 16% or more, Crude Fiber: 3% or less, Ash: 9% or less, Moisture: 11% or less
[Metabolizable Energy]
Approximately 380kcal/100g
[Country of Origin]
Australia
[Manufacturer]
Nestlé Purina
[JAN Code]
9300605149311",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=01149311&swrd=%e3%80%90%e3%81%82%e3%81%99%e5%ae%85%e3%80%91%e3%83%97%e3%83%ad%e3%83%97%e3%83%a9%e3%83%b3+%e6%88%90%e7%8a%ac%e7%94%a8+%e7%9a%ae%e8%86%9a%e3%81%a8%e8%83%83%e8%85%b8%e3%81%ae%e5%81%a5%e5%ba%b7%e3%82%b1%e3%82%a2+%e4%b8%ad%e5%9e%8b%e7%8a%ac%e3%83%bb%e5%a4%a7%e5%9e%8b%e7%8a%ac+%e3%82%b5%e3%83%bc%e3%83%a2%e3%83%b3%ef%bc%86%e3%81%82%e3%81%98,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776704076/01149311_LL_ipullx.jpg,"¥6,930(税込)"
Food,Medium dogs,Dog,【セット販売】ロイヤルカナン ブリード ヘルス ニュートリション ゴールデンレトリバー 成犬～高齢犬用 3kg×2コ,[Set Sale] Royal Canin Breed Health Nutrition Golden Retriever Adult to Senior Dog Food 3kg x 2,"【健康な皮膚と被毛を維持】
＜ゴールデンレトリバー成犬～高齢犬用＞は、独自のバランスで配合されたEPA・DHAやルリチシャ油などの栄養素が健康な皮膚・被毛を維持することで、皮膚のバリア機能をサポートします。

【心臓の健康維持に配慮】
心臓の健康を維持するために、タウリン、EPA・DHAなどを含む栄養素をバランス良く配合しています。

【健康的な体重の維持】
ゴールデンレトリバーの健康的な体重を維持するため適切なカロリーに調整しています。 ＜総合栄養食＞

【 原材料 】
肉類（鶏、七面鳥）、コーン、米、小麦、加水分解タンパク（鶏、七面鳥、豚）、動物性油脂、超高消化性植物性タンパク（消化率90％以上）、植物性繊維、ビートパルプ、魚油（オメガ3系不飽和脂肪酸〔EPA + DHA〕源）、大豆油、トマト（リコピン源）、フラクトオリゴ糖、サイリウム、グルコサミン、ルリチシャ油、マリーゴールド（ルテイン源）、加水分解軟骨（コンドロイチン硫酸源）、アミノ酸類（L-リジン、タウリン、L-チロシン、DL-メチオニン）、ゼオライト、ポリリン酸ナトリウム、ミネラル類 （Cl、K、Ca、Na、Zn、Mn、Fe、Cu、I、Se）、ビタミン類 （コリン、E、ナイアシン、C、パントテン酸カルシウム、B6、B2、B1、葉酸、A、ビオチン、B12、D3）、保存料（ソルビン酸カリウム）、酸化防止剤（ミックストコフェロール、ローズマリーエキス）
【 保証分析値 】
たんぱく質：23％以上、脂質：11％以上、粗繊維：4.7％以下、灰分：6.9％以下、水分：10.5％以下
【 代謝エネルギー 】
362kcal/100g
【 原産国 】
フランス
【 製造日からの賞味期限 】
18ヵ月
【 メーカー名 】
ロイヤルカナン","[Maintains Healthy Skin and Coat]
This formula for adult and senior Golden Retrievers contains a unique balance of nutrients, including EPA, DHA, and borage oil, to support healthy skin and coat, thus supporting the skin's barrier function.

[Supports Heart Health]
To maintain heart health, it contains a balanced blend of nutrients, including taurine, EPA, and DHA.

[Maintains a Healthy Weight]
The calorie content is adjusted to maintain a healthy weight for Golden Retrievers. <Complete and Balanced Nutrition>

[Ingredients]
Meat (chicken, turkey), corn, rice, wheat, hydrolyzed protein (chicken, turkey, pork), animal fats, highly digestible vegetable protein (digestibility 90% or higher), vegetable fiber, beet pulp, fish oil (source of omega-3 unsaturated fatty acids [EPA + DHA]), soybean oil, tomato (source of lycopene), fructooligosaccharides, psyllium, glucosamine, borage oil, marigold (source of lutein), hydrolyzed cartilage (source of chondroitin sulfate), amino acids (L-lysine, taurine, L-tyrosine, DL-methionine), zeolite, sodium polyphosphate, minerals (Cl, K, Ca, Na, Zn, Mn, Fe, Cu, I, Se), vitamins (Choline, Vitamin E, Niacin, Vitamin C, Calcium Pantothenate, Vitamin B6, B2, B1, Folic Acid, Vitamin A, Biotin, Vitamin B12, D3), Preservative (Potassium Sorbate), Antioxidant (Mixed Tocopherols, Rosemary Extract)
[Guaranteed Analysis Value]
Protein: 23% or more, Fat: 11% or more, Crude Fiber: 4.7% or less, Ash: 6.9% or less, Moisture: 10.5% or less
[Metabolic Energy]
362kcal/100g
【 country of origin 】
France
[Expiration date from the date of manufacture]
18 months
[Manufacturer Name]
Royal Canin",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=51743433&cat=014039,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747426/51743433_LL_yumxus.jpg,在庫がありません。
Food,Cats,Cat,Catit Recipes ADULT 成猫用 チキン 400g,Catit Recipes ADULT Chicken for Adult Cats 400g,"Catit Recipes成猫用は高品質良質な動物性タンパク質を配合し、強い健康な筋肉と体の活力をサポートするように設計されています。
動物性と植物性脂肪のブレンドにより、皮膚と被毛の健康を維持し、免疫のサポートもします。
バランスにこだわった炭水化物が消化しやすいエネルギーを提供し、日常の活動に力を与えます。
プレバイオティクスとプロバイオティクスが良い健康な腸内環境を促進しの維持を助け、最適な消化をサポートします。 ＜総合栄養食＞

【 原材料 】
骨抜き鶏肉、チキンミール、エンドウ豆、レンズ豆、オートミール、鶏脂肪、ナチュラルチキンフレーバー、大麦、フリーズドライ（チキン、サツマイモ、カボチャ、タラ肝、緑イ貝、昆布）、アルファルファミール、エンドウ豆繊維、魚油、リンゴ、ブルーベリー、ニンジン、クランベリー、カボチャ、ショウガ、イヌリン、酵母エキス、ユッカエキス、ビフィズス菌発酵産物、エンテロコッカスフェシウム菌発酵産物、ラクトバチルスアシドフィルス菌発酵産物、ラクトバチルスカゼイ菌発酵産物、ヒマワリ油、キャノーラ油、ビタミン類（コリン、E、C、ナイアシン、パントテン酸、B2、A、B1、B12、K、B6、ビオチン、D3、葉酸）、ミネラル類（カリウム、ナトリウム、亜鉛、鉄、カルシウム、マンガン、銅、セレン、ヨウ素）、アミノ酸類（タウリン、DL-メチオニン、L-リジン）、酸化防止剤（ビタミンE、クエン酸、ローズマリー抽出物）
【 保証分析値 】
たんぱく質：34.0％以上、脂質：15.0％以上、粗繊維：5.0％以下、灰分：9.0％以下、水分：10.0％以下
【 代謝エネルギー 】
370kcal/100g
【 原産国 】
キブル：カナダ、フリーズドライ：タイ
【 製造日からの賞味期限 】
24ヶ月
【 メーカー名 】
ジェックス","Catit Recipes for Adult Cats is formulated with high-quality animal protein to support strong, healthy muscles and vitality.
A blend of animal and plant-based fats maintains healthy skin and coat, and supports the immune system.
Balanced carbohydrates provide easily digestible energy to power daily activities.
Prebiotics and probiotics help promote and maintain a healthy gut environment, supporting optimal digestion. <Complete and Balanced Nutrition>

[Ingredients]
Boneless chicken, chicken meal, peas, lentils, oatmeal, chicken fat, natural chicken flavor, barley, freeze-dried (chicken, sweet potato, pumpkin, cod liver, green-lipped mussel, kelp), alfalfa meal, pea fiber, fish oil, apple, blueberry, carrot, cranberry, pumpkin, ginger, inulin, yeast extract, yucca extract, Bifidobacterium ferment product, Enterococcus faecium ferment product, Lactobacillus Fermented products of Lactobacillus acidophilus, fermented products of Lactobacillus casei, sunflower oil, canola oil, vitamins (choline, E, C, niacin, pantothenic acid, B2, A, B1, B12, K, B6, biotin, D3, folic acid), minerals (potassium, sodium, zinc, iron, calcium, manganese, copper, selenium, iodine), amino acids (taurine, DL-methionine, L-lysine), antioxidants (vitamin E, citric acid, rosemary extract)
[Guaranteed Analysis Value]
Protein: 34.0% or more, Fat: 15.0% or more, Crude Fiber: 5.0% or less, Ash: 9.0% or less, Moisture: 10.0% or less
[Metabolic Energy]
370kcal/100g
【 country of origin 】
Kibble: Canada, Freeze-dried: Thailand
[Expiration date from the date of manufacture]
24 months
[Manufacturer Name]
GEX",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=02928450&cat=013039,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776704284/02928450_LL_yfbvv3.jpg,"¥1,380(税込)"
Food,Cats,Cat,【あす宅】プロプラン リブクリア 成猫用 チキン 1.5kg,[Delivery to your door tomorrow] Pro Plan Ribclear Adult Cat Food Chicken 1.5kg,"猫の被毛とふけに付着する猫アレルギーの原因物質が減少します。
＊卵由来のタンパク質が唾液中の猫アレルギーの原因物質を中和することによる

・独自の栄養バランスで健康な腎臓を維持
・健康な関節の動きをサポート
・なめらかでツヤのある被毛のための栄養ブレンド
・科学的に実証された抗酸化成分配合の栄養バランスで抵抗力を保つ ＜総合栄養食＞

【 原材料 】
チキン、米、小麦、コーングルテン、鶏脂（オメガ6脂肪酸源）、魚油（オメガ3脂肪酸源）、乾燥卵、乳酸菌、たんぱく加水分解物、ミネラル類（カルシウム、リン、カリウム、ナトリウム、クロライド、マグネシウム、鉄、銅、マンガン、亜鉛、ヨウ素、セレン）、ビタミン類（A、D、E、B1、B2、パントテン酸、ナイアシン、B6、葉酸、B12、コリン、C、ベータカロテン）、アミノ酸類（アルギニン、タウリン）、ピロリン酸Na、酸化防止剤（ミックストコフェロール）
【 保証分析値 】
たんぱく質：34％以上、脂質：15％以上、粗繊維：3％以下、灰分：8.5％以下、水分：9％以下
【 代謝エネルギー 】
約370kcal/100g
【 原産国 】
オーストラリア
【 メーカー名 】
ネスレピュリナ","Reduces allergens that adhere to cat fur and dander.
*Egg-derived protein neutralizes allergens in saliva.

• Maintains healthy kidneys with a unique nutritional balance
. • Supports healthy joint movement. •
A nutritional blend for a smooth, shiny coat.
• A scientifically proven antioxidant balance helps maintain immunity. <Complete and Balanced Nutrition>

[Ingredients]
Chicken, rice, wheat, corn gluten, chicken fat (source of omega-6 fatty acids), fish oil (source of omega-3 fatty acids), dried egg, lactic acid bacteria, protein hydrolysate, minerals (calcium, phosphorus, potassium, sodium, chloride, magnesium, iron, copper, manganese, zinc, iodine, selenium), vitamins (A, D, E, B1, B2, pantothenic acid, niacin, B6, folic acid, B12, choline, C, beta-carotene), amino acids (arginine, taurine), sodium pyrophosphate, antioxidant (mixed tocopherols)
[Guaranteed Analysis Value]
Protein: 34% or more, Fat: 15% or more, Crude Fiber: 3% or less, Ash: 8.5% or less, Moisture: 9% or less
[Metabolic Energy]
Approximately 370kcal/100g
【 country of origin 】
Australia
[Manufacturer Name]
Nestlé Purina",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=02136045&cat=013039,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747506/02136045_LL_f8jxq2.jpg,"¥5,368(税込)"
Treats,Small dogs,Dog,【あす宅】【セット販売】グリニーズプラス 口臭ケア 超小型犬用 30本入×2コ,"[Next-day delivery available] [Set sale] Greenies Plus Bad Breath Care for Extra Small Dogs, 30 pieces x 2","歯に配慮したやわらかさ
しっかり食い込んで歯垢を落とす※噛むことにより
1日1本噛んで、歯垢と口臭をしっかりケア！
楽しく噛めるやわらかさとおいしさだから、オーラルケアが、毎日したくなる触れ合いと笑顔の時間に。
本製品を直接手で持って、左右の奥歯を中心に愛犬によく噛ませてあげてください。
特に口臭が気になる愛犬のために爽やかな香りのフレッシュミント入り

【 原材料 】
小麦粉、小麦タンパク、ゼラチン（豚由来）、セルロース、タンパク加水分解物、スペアミント、グリセリン、レシチン、ペパーミントフレーバー、ビタミン類（A、B1、B2、B6、B12、D3、E、コリン、ナイアシン、パントテン酸、ビオチン、葉酸）、ミネラル類（カリウム、カルシウム、クロライド、セレン、マグネシウム、マンガン、ヨウ素、リン、亜鉛、鉄、銅）、着色料（スイカ色素、ゲニパ色素、ウコン色素）
【 保証分析値 】
タンパク質：30.0％以上、脂質：5.5％以上、粗繊維：6.0％以下、灰分：6.0％以下、水分：5.0％以下
【 代謝エネルギー 】
26kcal/本
【 メーカー名 】
マースジャパン","Soft and gentle on teeth ,
these chewing toys effectively remove plaque.
Chewing just one a day helps to thoroughly care for plaque and bad breath! The
soft and tasty texture makes oral care a fun and enjoyable experience, turning daily oral care into a time of bonding and smiles.
Hold the product directly in your hand and let your dog chew on it, focusing on the molars on both sides.
For dogs with particularly bad breath, we offer a refreshing fresh mint flavor.

[Ingredients]
Wheat flour, wheat protein, gelatin (derived from pork), cellulose, protein hydrolysate, spearmint, glycerin, lecithin, peppermint flavor, vitamins (A, B1, B2, B6, B12, D3, E, choline, niacin, pantothenic acid, biotin, folic acid), minerals (potassium, calcium, chloride, selenium, magnesium, manganese, iodine, phosphorus, zinc, iron, copper), coloring agents (watermelon pigment, genipa pigment, turmeric pigment)
[Guaranteed Analysis Value]
Protein: 30.0% or more, Fat: 5.5% or more, Crude Fiber: 6.0% or less, Ash: 6.0% or less, Moisture: 5.0% or less
[Metabolic Energy]
26kcal/piece
[Manufacturer Name]
Mars Japan",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=51788055&cat=020022,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776704346/51788055_LL_xffum9.jpg,"¥5,218(税込)"
Treats,Small dogs,Dog,かわいくたべちゃう！ ササミ 7本入,Cute and delicious! Chicken breast fillets (7 pieces),"低脂肪な鶏ササミを持って食べやすいロール形状に仕上げました！
ササミそのまま100％使用（※使用肉原料として）。
着色料・保存料・発色剤・食塩 不使用。
農林水産省認定 鳥加熱処理工場製造。

【 原材料 】
鶏ササミ、グリセリン
【 保証分析値 】
たん白質：64.0％以上、脂質：4.0％以上、粗繊維：0.5％以下、灰分：6.0％以下、水分：18.0％以下
【 代謝エネルギー 】
348kcal/100g
【 原産国 】
中国
【 メーカー名 】
ペティオ","We've created a roll shape that's easy to hold and eat, using low-fat chicken breast!
Made with 100% whole chicken breast (as the raw meat ingredient).
No artificial colors, preservatives, curing agents, or salt are used.
Manufactured in a poultry heat treatment plant certified by the Ministry of Agriculture, Forestry and Fisheries.

[Ingredients]
Chicken breast, glycerin
[Guaranteed Analysis Value]
Protein: 64.0% or more, Fat: 4.0% or more, Crude Fiber: 0.5% or less, Ash: 6.0% or less, Moisture: 18.0% or less
[Metabolic Energy]
348kcal/100g
【 country of origin 】
China
[Manufacturer Name]
Petio",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=09131561&cat=020032,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747660/09131561_LL_hyf3h5.jpg,¥298（税込）
Treats,Large dogs,Dog,ゴン太のカミング チューイングドーナツ 8個,Gonta's Coming Chewing Donuts (8 pieces),"無添加※だから安心。100％天然素材だけを使用した牛皮ガム。
天然の鶏ササミと牛皮を使用した無添加のガムです。
ワンちゃんの大好きな鶏ササミを牛皮全体にコーティングしているので、最後まで飽きずにしっかり食べられます。
噛むことで歯と歯ぐきの健康維持やストレス解消に役立ち、夢中になって噛む姿も楽しめるスナックです。
※保存料、酸化防止剤、発色剤、着色料は使用していません。
【 原材料 】肉類（牛皮、鶏ササミ）、穀類（米ペースト）【 保証分析値 】たん白質：45.0％以上、脂質：0.6％以上、粗繊維：2.1％以下、灰分：3.9％以下、水分：16.0％以下【 代謝エネルギー 】300kcal/100g【 原産国 】中国【 製造日からの賞味期限 】18ヶ月【 メーカー名 】サンライズ","Additive-free* for peace of mind. 100% natural rawhide chew.
This additive-free chew uses natural chicken breast and rawhide. The
entire rawhide is coated with chicken breast, a favorite of dogs, so they can enjoy it to the very last bite.
Chewing helps maintain healthy teeth and gums and relieves stress, and it's a snack that you can enjoy watching your dog engrossed in chewing.
*No preservatives, antioxidants, colorants, or artificial colors are used.

[Ingredients]
Meat (beef hide, chicken breast), grains (rice paste)
[Guaranteed Analysis Value]
Protein: 45.0% or more, Fat: 0.6% or more, Crude Fiber: 2.1% or less, Ash: 3.9% or less, Moisture: 16.0% or less
[Metabolic Energy]
300kcal/100g
【 country of origin 】
China
[Expiration date from the date of manufacture]
18 months
[Manufacturer Name]
Sunrise",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=09947834&cat=020022,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776746632/09947834_LL_fibd6z.jpg,¥498(税込)
Treats,Large dogs,Dog,【セット販売】ゴン太のおすすめササミジャーキー 75枚×2コ,[Set Sale] Gonta's Recommended Chicken Jerky 75 pieces x 2,"鶏肉の中でも特に低脂肪な鶏ササミを、素材の旨みを引き出すよう調理した嗜好性の高いスナックです。
手軽に与えられるので、おやつやしつけのごほうびにおすすめです。

【 原材料 】
肉類（鶏ササミ等）、でん粉類、豆類、糖類、増粘安定剤（ソルビトール、グァーガム）、ミネラル類（塩化ナトリウム）、pH調整剤、保存料（ソルビン酸カリウム、デヒドロ酢酸ナトリウム
【 保証分析値 】
たん白質：41.0％以上、脂質：0.9％以上、粗繊維：1.5％以下、灰分：8.0％以下、水分：14.0％以下
【 原産国 】
中国
【 製造日からの賞味期限 】
18ヶ月
【 メーカー名 】
サンライズ","This highly palatable snack is made from chicken breast, which is particularly low in fat, and is prepared to bring out the delicious flavor of the ingredients.
It's easy to give, making it ideal as a treat or reward during training.

[Ingredients]
Meat (chicken breast, etc.), starches, legumes, sugars, thickeners and stabilizers (sorbitol, guar gum), minerals (sodium chloride), pH adjusters, preservatives (potassium sorbate, sodium dehydroacetate)
[Guaranteed Analysis Value]
Protein: 41.0% or more, Fat: 0.9% or more, Crude Fiber: 1.5% or less, Ash: 8.0% or less, Moisture: 14.0% or less
【 country of origin 】
China
[Expiration date from the date of manufacture]
18 months
[Manufacturer Name]
Sunrise",https://online-store.pets-kojima.com/Form/Product/ProductDetail.aspx?shop=0&pid=51932625&cat=020032,https://res.cloudinary.com/dcrsau6jm/image/upload/v1776747718/51932625_LL_ddaifg.jpg,"¥1,920（税込）"
